player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position_x,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain,player_id,first_name,last_name,last_season,current_club_id,player_code,market_value_in_eur,height_in_cm,date_of_birth
Sergio Agüero,Manchester City,EPL,33,2551,26,21,8,25.270159743726254,5.568922242149711,20.70318364351988,0.8915383680656067,0.1964731484882297,0.7304141622566793,F S,148,33,4,0,6.878173082135618,27.805154908448458,26399,Sergio,Agüero,2021,131,sergio-aguero,15000000.0,173.0,1988-06-02 00:00:00
Harry Kane,Tottenham,EPL,34,2589,21,19,4,17.15729223564267,3.922500966116786,14.873822528868914,0.5964296258044961,0.136355769389923,0.5170506093465439,F M S,112,27,4,0,5.549698735587299,16.488438992761075,132098,Harry,Kane,2024,27,harry-kane,90000000.0,188.0,1993-07-28 00:00:00
Diego Costa,Chelsea,EPL,26,2111,20,19,3,15.219103761017324,4.554670915938914,14.45793492347002,0.6488485734209185,0.1941830328917585,0.6163970360550932,F S,76,41,8,0,5.27697272785008,21.36578990891576,44779,Diego,Costa,2022,543,diego-costa,2000000.0,186.0,1988-10-07 00:00:00
Diego Costa,Chelsea,EPL,26,2111,20,19,3,15.219103761017324,4.554670915938914,14.45793492347002,0.6488485734209185,0.1941830328917585,0.6163970360550932,F S,76,41,8,0,5.27697272785008,21.36578990891576,546212,,Diego Costa,2024,16704,diego-costa,7000000.0,184.0,1999-07-21 00:00:00
Charlie Austin,Queens Park Rangers,EPL,35,3078,18,15,5,17.881850190460682,2.548747032880783,14.076042897999288,0.5228611166801369,0.0745247670432977,0.4115802016958855,F,131,23,4,1,3.041321298107505,13.718276167288424,129627,Charlie,Austin,2020,984,charlie-austin,275000.0,188.0,1989-07-05 00:00:00
Alexis Sánchez,Arsenal,EPL,35,2967,16,16,8,13.451749975793064,8.49417957291007,12.690581078641117,0.4080409497207198,0.2576596432631973,0.3849519032954838,F M S,122,82,4,0,10.736752955242991,27.15757153555751,40433,Alexis,Sánchez,2024,410,alexis-sanchez,2000000.0,169.0,1988-12-19 00:00:00
Olivier Giroud,Arsenal,EPL,27,1871,14,14,3,8.846344472840428,3.8601362351328135,8.846344472840428,0.4255323370153065,0.1856826622992801,0.4255323370153065,F S,70,29,5,1,4.129246938973665,13.639880420640113,82442,Olivier,Giroud,2023,5,olivier-giroud,3000000.0,192.0,1986-09-30 00:00:00
Eden Hazard,Chelsea,EPL,38,3389,14,11,9,12.016092173755167,11.23889049515128,8.971416749060154,0.3191054280430703,0.2984656667346165,0.2382494858115709,M,78,100,2,0,19.4763213954866,31.84057115018368,50202,Eden,Hazard,2022,418,eden-hazard,5000000.0,175.0,1991-01-07 00:00:00
Saido Berahino,West Bromwich Albion,EPL,38,2940,14,10,1,13.84175339434296,1.961660521104932,10.797114790417254,0.4237271447247844,0.0600508322787224,0.3305239221556302,F M S,86,28,2,0,2.439557683654129,11.907293939962983,128897,Saido,Berahino,2021,3508,saido-berahino,600000.0,180.0,1993-08-04 00:00:00
Christian Benteke,Aston Villa,EPL,29,2380,13,12,2,8.455073807388544,2.9213200323283672,7.693904969841242,0.3197296817920038,0.1104700852561147,0.2909459862545007,F S,80,33,1,1,2.198609022423625,8.725395945832133,50201,Christian,Benteke,2021,873,christian-benteke,2500000.0,190.0,1990-12-03 00:00:00
David Silva,Manchester City,EPL,32,2682,12,12,7,9.096987545490263,10.388413229957225,9.096987545490263,0.3052680384392706,0.3486044708039336,0.3052680384392706,M,66,92,8,0,16.633573447354138,29.14427815377712,35518,David,Silva,2022,681,david-silva,4000000.0,170.0,1986-01-08 00:00:00
David Silva,Manchester City,EPL,32,2682,12,12,7,9.096987545490263,10.388413229957225,9.096987545490263,0.3052680384392706,0.3486044708039336,0.3052680384392706,M,66,92,8,0,16.633573447354138,29.14427815377712,86759,David,Silva,2013,2553,david-silva,50000.0,178.0,1986-10-11 00:00:00
Wayne Rooney,Manchester United,EPL,33,2887,12,11,5,8.902106503024697,3.983562218025327,7.379768742248416,0.2775163094119233,0.1241844820305782,0.2300586029796873,F M,79,45,5,1,7.295702989213169,15.435743432492018,3332,Wayne,Rooney,2017,985,wayne-rooney,2000000.0,176.0,1985-10-24 00:00:00
Graziano Pellè,Southampton,EPL,38,3291,12,12,2,18.616503284312785,4.481623747386038,18.616503284312785,0.5091113022145702,0.1225603577224987,0.5091113022145702,F S,123,43,6,0,5.598169405013323,24.785646935924888,29594,Graziano,Pellè,2020,130,graziano-pelle,100000.0,194.0,1985-07-15 00:00:00
Wilfried Bony,"Manchester City,Swansea",EPL,30,1604,11,10,3,10.45473239198327,3.5082936231046915,9.693563554435968,0.5866121666324777,0.1968493928175949,0.5439031919571304,F S,89,26,3,1,4.412425408139825,14.2522145062685,81808,Wilfried,Bony,2021,467,wilfried-bony,100000.0,183.0,1988-12-10 00:00:00
Nacer Chadli,Tottenham,EPL,35,2423,11,11,5,6.865526346489787,3.935559866018593,6.865526346489787,0.2550133599604131,0.1461825785974714,0.2550133599604131,M S,54,41,3,0,8.626995285972953,15.642377668060362,59631,Nacer,Chadli,2023,6890,nacer-chadli,400000.0,187.0,1989-08-02 00:00:00
Leonardo Ulloa,Leicester,EPL,37,2434,11,9,3,8.92391943745315,3.791994614526629,7.401581762358546,0.3299723703248905,0.1402134409644193,0.2736821522646956,F S,49,36,3,0,2.509369350038469,9.963016773574054,54890,Leonardo,Ulloa,2018,1003,leonardo-ulloa,200000.0,188.0,1986-07-26 00:00:00
Danny Ings,Burnley,EPL,35,3048,11,10,4,12.289515919983389,4.244326277635992,11.528347082436085,0.3628794070861236,0.1253245948120863,0.34040394928453,F M,97,35,6,0,2.825656677596271,16.5587038686499,134294,Danny,Ings,2024,379,danny-ings,7000000.0,177.0,1992-07-23 00:00:00
Romelu Lukaku,Everton,EPL,36,2880,10,8,5,12.43079612404108,2.350205834954977,10.90853263437748,0.3884623788762837,0.073443932342343,0.3408916448242962,F S,105,37,1,0,5.078922747634351,15.743810007348657,96341,Romelu,Lukaku,2024,6195,romelu-lukaku,22000000.0,191.0,1993-05-13 00:00:00
Christian Eriksen,Tottenham,EPL,38,3160,10,10,2,7.389632631093264,6.088786538690329,7.389632631093264,0.2104642205058208,0.1734148064816865,0.2104642205058208,M S,97,84,4,0,13.018117560073732,21.318574644625187,69633,Christian,Eriksen,2024,985,christian-eriksen,6000000.0,182.0,1992-02-14 00:00:00
Diafra Sakho,West Ham,EPL,23,1765,10,10,2,9.07037549559027,2.615855718962848,9.07037549559027,0.4625120649309486,0.1333864105986721,0.4625120649309486,F M S,66,23,2,0,0.9128178954124452,9.083610157482326,120610,Diafra,Sakho,2019,273,diafra-sakho,250000.0,184.0,1989-12-24 00:00:00
Sadio Mané,Southampton,EPL,30,2142,10,10,3,8.553969949483871,3.982477756217122,8.553969949483871,0.3594105020791542,0.1673309981603832,0.3594105020791542,F M S,60,40,5,0,4.032990455627441,14.5672763325274,200512,Sadio,Mané,2022,27,sadio-mane,25000000.0,174.0,1992-04-10 00:00:00
Yaya Touré,Manchester City,EPL,29,2358,10,8,1,7.109345279633999,3.2435781778767705,5.587007623165846,0.2713490564745801,0.1238006938120904,0.2132445657696887,M S,89,33,5,0,20.90326175838709,26.024327591061592,13091,Yaya,Touré,2018,683,yaya-toure,100000.0,188.0,1983-05-13 00:00:00
Robin van Persie,Manchester United,EPL,27,2126,10,9,2,11.603471722453833,2.986051801592112,10.081134106963871,0.4912099976579703,0.1264085899074741,0.4267648493070313,F S,76,27,5,0,1.6887292927131057,12.917514119297266,4380,Robin,van Persie,2018,234,robin-van-persie,1500000.0,183.0,1983-08-06 00:00:00
Juan Mata,Manchester United,EPL,33,2318,9,8,4,6.5977564714849,4.968638537451625,5.8365875743329525,0.2561682840524766,0.1929152150002787,0.2266147030586564,M S,33,50,2,0,7.047830257564783,14.520848767831922,44068,Juan,Mata,2022,141,juan-mata,1000000.0,170.0,1988-04-28 00:00:00
Steven Gerrard,Liverpool,EPL,28,2239,9,5,1,7.108814503997564,3.2090775687247515,3.30297027528286,0.285749578097267,0.1289937388053718,0.1327678985151663,F M S,54,52,7,0,5.5866065211594105,8.18137452378869,3109,Steven,Gerrard,2014,31,steven-gerrard,1750000.0,183.0,1980-05-30 00:00:00
Jonathan Walters,Stoke,EPL,32,2439,8,8,4,5.561564696952701,3.240074114408344,5.561564696952701,0.2052237895554502,0.1195599304209721,0.2052237895554502,F M S,45,24,5,0,2.669186648912728,9.58107604412362,3306,Jonathan,Walters,2018,1132,jonathan-walters,1500000.0,183.0,1983-09-20 00:00:00
Peter Crouch,Stoke,EPL,33,1648,8,8,2,6.730623106472194,1.8830661876127124,6.730623106472194,0.367570436639865,0.1028373524788495,0.367570436639865,F S,59,15,4,0,3.592045398429036,9.373048391193151,4072,Peter,Crouch,2018,1132,peter-crouch,1000000.0,201.0,1981-01-30 00:00:00
Nikica Jelavic,Hull,EPL,26,1815,8,8,1,4.894789138808847,0.8632266633212566,4.894789138808847,0.2427168168004386,0.0428046279332854,0.2427168168004386,F S,57,17,3,0,1.0867639323696494,5.708562222309411,25742,Nikica,Jelavic,2015,379,nikica-jelavic,50000.0,188.0,1985-08-27 00:00:00
Kevin Mirallas,Everton,EPL,29,1430,7,7,1,4.718503348529339,1.5895477198064327,3.957334525883198,0.2969687422151332,0.1000414648829223,0.2490630121185229,F M S,52,18,3,0,2.2814471749588847,6.504366559907794,33639,Kevin,Mirallas,2021,979,kevin-mirallas,350000.0,182.0,1987-10-05 00:00:00
Raheem Sterling,Liverpool,EPL,35,3059,7,7,7,8.785912293940783,6.0366210248321295,8.785912293940783,0.2584936601682479,0.1776057182853519,0.2584936601682479,F M S,84,75,5,0,5.501672655344009,18.19585334509611,134425,Raheem,Sterling,2024,11,raheem-sterling,15000000.0,170.0,1994-12-08 00:00:00
Gylfi Sigurdsson,Swansea,EPL,32,2721,7,7,10,5.177992150187492,8.45131066069007,5.177992150187492,0.1712676565662897,0.2795361850283374,0.1712676565662897,F M,67,73,2,0,7.1168532548472285,15.548746209591627,90466,Gylfi,Sigurdsson,2023,369,gylfi-sigurdsson,750000.0,186.0,1989-09-08 00:00:00
Bafétimbi Gomis,Swansea,EPL,31,1619,7,7,0,7.497833965346217,0.8869195282459259,7.497833965346217,0.4168036175918218,0.0493037415331274,0.4168036175918218,F S,69,13,0,0,1.5422124341130257,7.254535458050668,22388,Bafétimbi,Gomis,2022,141,bafetimbi-gomis,650000.0,184.0,1985-08-06 00:00:00
